"","activity","subject","measurement","average"
"1","WALKING",1,"fBodyAcc.mean...X",-0.531895161258213
"2","WALKING",1,"fBodyAcc.mean...Y",-0.406435448904438
"3","WALKING",1,"fBodyAcc.mean...Z",-0.596411165253602
"4","WALKING",1,"fBodyAcc.std...X",-0.553060616663401
"5","WALKING",1,"fBodyAcc.std...Y",-0.390150939647061
"6","WALKING",1,"fBodyAcc.std...Z",-0.498583091676081
"7","WALKING",1,"fBodyAccJerk.mean...X",-0.547348892435764
"8","WALKING",1,"fBodyAccJerk.mean...Y",-0.507343617969859
"9","WALKING",1,"fBodyAccJerk.mean...Z",-0.695305113832853
"10","WALKING",1,"fBodyAccJerk.std...X",-0.543979776127867
"11","WALKING",1,"fBodyAccJerk.std...Y",-0.466251676533372
"12","WALKING",1,"fBodyAccJerk.std...Z",-0.737861932680115
"13","WALKING",1,"fBodyAccMag.mean..",-0.478448523354179
"14","WALKING",1,"fBodyAccMag.std..",-0.589710231217867
"15","WALKING",1,"fBodyBodyAccJerkMag.mean..",-0.499075765624092
"16","WALKING",1,"fBodyBodyAccJerkMag.std..",-0.541823079570029
"17","WALKING",1,"fBodyBodyGyroMag.mean..",-0.535002770337752
"18","WALKING",1,"fBodyGyro.mean...X",-0.623219182311527
"19","WALKING",1,"fBodyGyro.mean...Y",-0.505309434070029
"20","WALKING",1,"fBodyGyro.mean...Z",-0.553529065425648
"21","WALKING",1,"fBodyGyro.std...X",-0.708263420861671
"22","WALKING",1,"fBodyGyro.std...Y",-0.429825832648703
"23","WALKING",1,"fBodyGyro.std...Z",-0.650476162132565
"24","WALKING",1,"tBodyAcc.mean...X",0.265696920582133
"25","WALKING",1,"tBodyAcc.mean...Y",-0.0182981725176081
"26","WALKING",1,"tBodyAcc.mean...Z",-0.10784573454611
"27","WALKING",1,"tBodyAcc.std...X",-0.545795331328326
"28","WALKING",1,"tBodyAcc.std...Y",-0.367716218227378
"29","WALKING",1,"tBodyAcc.std...Z",-0.502645746562824
"30","WALKING",1,"tBodyAccJerk.mean...X",0.0770930495126801
"31","WALKING",1,"tBodyAccJerk.mean...Y",0.0165908438802305
"32","WALKING",1,"tBodyAccJerk.mean...Z",-0.00910758730117003
"33","WALKING",1,"tBodyAccJerk.std...X",-0.524721922818732
"34","WALKING",1,"tBodyAccJerk.std...Y",-0.470412403511239
"35","WALKING",1,"tBodyAccJerk.std...Z",-0.717322274881844
"36","WALKING",1,"tBodyAccJerkMag.mean..",-0.545431612066571
"37","WALKING",1,"tBodyAccJerkMag.std..",-0.515922167555159
"38","WALKING",1,"tBodyAccMag.mean..",-0.453632943768818
"39","WALKING",1,"tBodyAccMag.std..",-0.497096402038329
"40","WALKING",1,"tBodyGyro.mean...X",-0.0208764064320173
"41","WALKING",1,"tBodyGyro.mean...Y",-0.0880722729400576
"42","WALKING",1,"tBodyGyro.mean...Z",0.0862641666597983
"43","WALKING",1,"tBodyGyro.std...X",-0.686555715201729
"44","WALKING",1,"tBodyGyro.std...Y",-0.450979810499568
"45","WALKING",1,"tBodyGyro.std...Z",-0.597496136795101
"46","WALKING",1,"tBodyGyroJerk.mean...X",-0.0971120197265994
"47","WALKING",1,"tBodyGyroJerk.mean...Y",-0.0417164808293948
"48","WALKING",1,"tBodyGyroJerk.mean...Z",-0.0471393985477522
"49","WALKING",1,"tBodyGyroJerk.std...X",-0.637812687210375
"50","WALKING",1,"tBodyGyroJerk.std...Y",-0.634472244550432
"51","WALKING",1,"tBodyGyroJerk.std...Z",-0.664591977786455
"52","WALKING",1,"tBodyGyroJerkMag.mean..",-0.639517432642651
"53","WALKING",1,"tBodyGyroJerkMag.std..",-0.652050770910663
"54","WALKING",1,"tBodyGyroMag.mean..",-0.475404785802305
"55","WALKING",1,"tBodyGyroMag.std..",-0.499839593745821
"56","WALKING",1,"tGravityAcc.mean...X",0.744867411573487
"57","WALKING",1,"tGravityAcc.mean...Y",-0.0825562579855908
"58","WALKING",1,"tGravityAcc.mean...Z",0.072339870389049
"59","WALKING",1,"tGravityAcc.std...X",-0.959859435936599
"60","WALKING",1,"tGravityAcc.std...Y",-0.951150627458213
"61","WALKING",1,"tGravityAcc.std...Z",-0.925817590867435
"62","WALKING",1,"tGravityAccMag.mean..",-0.453632943768818
"63","WALKING",1,"tGravityAccMag.std..",-0.497096402038329
"64","STANDING",2,"fBodyAcc.mean...X",-0.57377091142947
"65","STANDING",2,"fBodyAcc.mean...Y",-0.432566581302351
"66","STANDING",2,"fBodyAcc.mean...Z",-0.630081222124834
